x,y
0,0.15946822871864363
1,-3.9046885668059943
2,0.6745367191757943
3,6.1309300663248125
4,2.386091190696698
5,4.323833397444771
6,-0.5960474235912319
7,7.180284702912964
8,6.64211578520936
9,3.017993501714259
10,8.997835218560104
11,10.823715791741467
12,9.887382097197928
13,4.280556607397688
14,10.171895943373038
15,7.927491433962615
16,6.515287031243405
17,5.898925869203125
18,13.57045832699954
19,15.372892515791152
20,12.162529089714914
21,13.13993536840901
22,11.19799760000745
23,8.002519670959579
24,9.809683029642708
25,5.956250876133891
26,8.241360434222623
27,13.791978334891914
28,8.586912568911007
29,8.72380048134486
30,9.734482810727542
31,12.295812154844814
32,15.05169524550907
33,9.233880755657326
34,12.019609769977423
35,16.22886148607666
36,17.43736042478092
37,10.603809753998949
38,8.608823247531934
39,13.725422972105441
40,11.501776232510817
41,13.276984916805024
42,13.193230454555811
43,11.885959111475039
44,12.964156639179752
45,12.724932080212806
46,15.989398071544887
47,14.93210757342233
48,12.959466381506413
49,12.59384715350549
50,15.065978467337258
